Time: B1 x y phi phi dx dy dphi dphi d2x d2y d2phi d2phi J1 x y dx dy J2 x y dx dy B2 x y phi phi dx dy dphi dphi d2x d2y d2phi d2phi J1 x y dx dy Lam1 x y Lam2 x y K1 Lin Ang K2 Lin Ang Pot1 - Pot2 - Total Total
RK45  - - - (rad) (deg) dt dt dt(r) dt(d) dt2 dt2 dt2(r) dt2(d) - - - dt dt - - - dt dt  - - - (rad) (deg) dt dt dt(r) dt(d) dt2 dt2 dt2(r) dt2(d) - - - dt dt - - - - - - - Kin Kin - Kin Kin - - - - Kinet Poten
4 SimBody1 - - - - - - - - - - - - Joint001 - - - - Joint004 - - - - SimBody2 - - - - - - - - - - - - Joint004 - - - - SimBody1 - - SimBody2 - - SimBody1 - - SimBody2 - - SimBody1 - SimBody2 -  - - 
0.0 S  100.         -243.20507871 -1.0471975533039342 -60.00000012074148 0. 0. 0.0 0.0 -2920.82552701 -1686.33942889 -16.86339428894201 -966.2013210213931 J  2.84217094e-14 -7.00000005e+01 0. 0. J  200.         -416.41016031 0. 0. S  236.83520092 -480.21060066 2.094395096672196 119.99999967221088 0. 0. 0.0 0.0 -4498.89518521 -2597.43837289 21.046185862700405 1205.8576247806327 J  200.         -416.41016031 0. 0. S 0.7946436609203347 -1.6734132967540563 S 0.4555798881300255 -0.7303788783547323 S 0.0 0.0 S 0.0 0.0 S 24.333443531083105 S 48.9909573160478 0.0 73.3244008471309 
0.01 i   99.85405093 -243.2892605  -1.048039985871013 -60.04826795135948 -29.17135676 -16.80934031 -0.16833909245831674 -9.645119524924095 -2909.74739505 -1670.1354867  -16.77494453913386 -961.133523658398 o -9.94759830e-14 -7.00000005e+01 -1.79980475e-11  2.06412665e-11 o  199.70810187 -416.57852388 -58.34271409 -33.61868062 i  236.61015086 -480.34032276 2.0954431821872905 120.06005054879459 -45.03100867 -25.91455034 0.20877242582117111 11.961778878261155 -4511.47386592 -2579.54573806 20.539404688807956 1176.82120237991 o  199.70810187 -416.57852388 -58.34271409 -33.61868062 i 0.7946314350055586 -1.6771062247016828 i 0.45685366618307305 -0.7321907731070709 i 0.06579239919743747 0.020026018413445444 i 0.13667490566397045 0.002239277826012398 i 24.237577904492525 i 48.86209034153774 0.22473260110086576 73.09966824603026 
0.02 m   99.41731362 -243.54018856 -1.0505584403260382 -60.192564762528335 -58.12033017 -33.29584436 -0.3349099180486673 -19.188924821260912 -2876.27109049 -1621.89843257 -16.509835639708232 -945.9439026099514 i  3.51008111e-12 -7.00000005e+01  1.65371716e-10 -2.32674324e-10 i  198.83462723 -417.08038001 -116.24066146  -66.59168871 m  235.93375237 -480.72771403 2.0985367750883683 120.23730036555797 -90.30976775 -51.47693983 0.40741523755175274 23.34317362103528 -4548.06454793 -2527.56992294 19.0209957139617 1089.8227765464335 i  198.83462723 -417.08038001 -116.24066146  -66.59168871 m 0.7944506906080492 -1.687969141312393 m 0.46055901563705326 -0.737454095558737 m 0.26041247110202803 0.07926485437529285 m 0.5471202180875151 0.008527784955076067 m 23.95182279022339 m 48.47725272835703 0.8953253285199121 72.42907551858042 
0.03 B   98.69314083 -243.95304897 -1.0547264163434675 -60.43137219743878 -86.62012203 -49.14436382 -0.49795115858372246 -28.53049979049685 -2819.79702096 -1542.80946964 -16.069425356037094 -920.7102521014357 n  9.94759830e-13 -7.00000005e+01  1.52056145e-11 -2.25099939e-11 n  197.38628164 -417.90610082 -173.24024574  -98.28872763 B  234.80237467 -481.36761828 2.10352411026085 120.52305362195833 -136.06129017  -76.36849445 0.5858504029453236 33.5667555148057 -4605.28316065 -2446.44976645 16.500596815884435 945.4145569971828 n  197.38628164 -417.90610082 -173.24024574  -98.28872763 B 0.7936891367413232 -1.705364796008695 B 0.46635324913368703 -0.7456687149921751 B 0.5756774992815543 0.17522583674485864 B 1.232637198348482 0.01763336391518063 B 23.481660253830853 B 47.84156669499623 2.0011738982900757 71.32322694882708 
0.04 o   97.68718524 -244.51995053 -1.0604999069801773 -60.762168843980554 -114.43753878  -64.05617837 -0.6557275472035123 -37.570420965226724 -2739.71967121 -1435.00132045 -15.457924837759938 -885.6738532340922 t  7.90123522e-12 -7.00000005e+01  1.55054636e-10 -2.86291879e-10 t  195.37437044 -419.03990395 -228.87507977 -128.11235671 o  233.21034134 -482.25198761 2.110153373723312 120.90288243963766 -182.46625828 -100.33407893 0.7341764232073037 42.065210467789086 -4677.69361043 -2343.83359547 13.006056643691808 745.1921537916253 t  195.37437044 -419.03990395 -228.87507977 -128.11235671 o 0.7917259970862554 -1.728271105305033 o 0.47368588153693314 -0.7560601248324736 o 0.9982805701609745 0.30385858129052756 o 2.1954653546367613 0.027692526001555997 o 22.836076734089147 o 46.96302708087501 3.5252970320898194 69.79910381496416 
0.05 d   96.40745577 -245.23013944 -1.0678178394389246 -61.181455488628565 -141.33533854  -77.75934254 -0.8065698023802151 -46.213045559087185 -2635.92297723 -1301.71919009 -14.68471494163026 -841.3721895081129 '0' -1.89004368e-12 -7.00000005e+01  1.25055521e-11 -3.37081474e-11 '0'  192.81491146 -420.46028176 -282.67067981 -155.51868503 d  231.15047073 -483.3706395  2.1180756078646223 121.35679302024921 -229.6422732  -123.20487062 0.8429201249315621 48.295765625218586 -4758.20334743 -2229.14432019 8.59764020440821 492.6084974845848 '0'  192.81491146 -420.46028176 -282.67067981 -155.51868503 d 0.7878295724547882 -1.755357140392645 d 0.48183868693981374 -0.7676741156126347 d 1.5103920015718864 0.4597360546806891 d 3.438701404452846 0.03650350362758577 d 22.027318592127813 d 45.85174929064277 5.445332964333007 67.87906788277058 
0.06 y   94.86432492 -246.07032445 -1.0766030309258279 -61.684809883042384 -167.07970278  -90.02029902 -0.9489373281033677 -54.370103922744015 -2509.28342165 -1147.39492703 -13.766430055010874 -788.7583411141728 '0'  1.59161573e-11 -7.00000005e+01 -1.00385478e-10 -3.58539864e-11 '0'  189.72864975 -422.14065178 -334.15940876 -180.04059795 y  228.61477958 -484.71218782 2.1268508504071484 121.85957738213962 -277.63040768 -144.90970275 0.9034299724543817 51.762724507256294 -4838.73586654 -2112.23655154 3.381239140920059 193.7307322991596 '0'  189.72864975 -422.14065178 -334.15940876 -180.04059795 y 0.781283743284094 -1.7851105049607687 y 0.4899937993697454 -0.7795127617621493 y 2.090647541924082 0.6363553644688104 y 4.965899270160671 0.04193249405518821 y 21.070521795393972 y 44.519044381002175 7.734834670608752 65.58956617639615 
0.07 '1'   93.07043825 -247.02511918 -1.0867638601087577 -62.26698251157762 -191.45208134 -100.65537166 -1.0814966980844358 -61.9651963575724 -2362.01351294  -977.53488762 -12.72788335066783 -729.2539981280954 '1' -1.70530257e-13 -7.00000005e+01  3.83124643e-11 -7.48201501e-11 '4'  186.14087637 -424.05024124 -382.90416633 -201.31074317 '2'  225.59528271 -486.26501469 2.1359587820640593 122.3814234261742 -326.38989741 -165.47139494 0.908373779877274 52.04598380731347 -4911.1758946 -2001.7712875 -2.484832672492176 -142.37042493001482 '4'  186.14087637 -424.05024124 -382.90416633 -201.31074317 '1' 0.7715235566091041 -1.8160149395707603 '2' 0.49732942701282573 -0.7906990087319493 '1' 2.7155397002891926 0.826561254853406 '2' 6.780245278638578 0.04239268111734272 '1' 19.983208260522872 '2' 42.97645367167462 10.364738914898519 62.95966193219749 
